scenario_id,model_id,schema_sheet_name,finding,prior_sum,sum_q_init,coherence_gap_abs,rmse_logLR,median_mult_change,p90_mult_change,max_mult_change,max_abs_log_change
chest_pain_carter_18,gpt-4.1-nano,s01_r00_19cat,Patient does not have: tearing chest pain,1.0,0.3345530418103377,0.6654469581896623,0.45515916811529283,1.025415055717258,2.731103384639913,7.617683022055505,2.030472258114268
erectile_dysfunction_torres_tier1,gpt-4.1-nano,s01_r00_7cat,Patient has: normal vibration sensation at ankles,1.0,0.37621963203845676,0.6237803679615432,0.6812650793177716,1.992956346277934,4.295242327266866,6.684624144655025,1.8998099852866877
erectile_dysfunction_torres_tier1,gpt-4.1-nano,s01_r00_7cat,Patient has: 1 year of polyuria and polydipsia,1.0,2.2412487827621597,1.2412487827621597,0.8340538699031776,2.1268578111084304,6.027759760998652,6.437898121012097,1.8622021081183049
metrorrhagia_sperle_tier3,gpt-4.1-nano,s01_r00_9cat,Patient does not have: urinary changes,1.0,0.3690811879283017,0.6309188120716983,0.6039660965389465,1.0773426731148947,5.424663381654704,6.408384684444704,1.8576072398688197
chest_pain_carter_18,gpt-4.1-nano,s01_r00_19cat,Patient does not have: episodic chest pain,1.0,0.3662260949775439,0.6337739050224561,0.4259212553374971,1.0232655544331382,3.529919323456757,6.290366644654566,1.839019359101714
chest_pain_carter_18,gpt-4.1-nano,s01_r00_19cat,Patient does not have: Pain reproducible with swallowing,1.0,0.4196365116383097,0.5803634883616904,0.3801838718628347,1.0309716151897135,2.0400063933516392,6.227501300257893,1.828975176947094
erectile_dysfunction_torres_tier1,gpt-4.1-nano,s01_r00_7cat,Patient does not have: relief of paresthesias with compression socks,1.0,0.34133761300151955,0.6586623869984805,0.7278757086881283,1.7234820379366138,5.276253709708343,6.203298711459746,1.8250812007979462
erectile_dysfunction_torres_tier1,gpt-4.1-nano,s01_r00_7cat,Patient has: relief of cluadication with rest,1.0,0.4293244356572553,0.5706755643427447,0.6034598888804622,1.7443290172997605,3.814173385553432,5.712288361500925,1.7426197072190808
chest_pain_carter_18,gpt-4.1-nano,s01_r00_19cat,Patient does not have: epigastric pain,1.0,0.4279243913657046,0.5720756086342954,0.38835179864195835,1.0371422577800908,2.8716185199140707,5.45005071217857,1.6956249136187553
metrorrhagia_sperle_tier3,gpt-4.1-nano,s01_r00_9cat,Patient does not have: soaking pads,1.0,0.597142675515868,0.40285732448413203,0.4843715760841602,1.2062430986421877,3.2100086853427245,5.429361600130013,1.691821557997233
chest_pain_carter_18,gpt-4.1-nano,s01_r00_19cat,Patient does not have: Relief with antacids or PPI,1.0,0.46881258325530645,0.5311874167446935,0.34313316077181016,1.0348248862698874,1.8489476501152886,5.230156663075689,1.6544412323271829
chest_pain_carter_18,gpt-4.1-nano,s01_r00_19cat,"Patient does not have: pain radiating to arm, neck, or jaw",1.0,0.4962891995458988,0.5037108004541012,0.34199510749680456,1.0571162089410806,1.8199151380730447,5.06692324228225,1.6227337778260917
erectile_dysfunction_torres_tier1,gpt-4.1-nano,s01_r00_7cat,Patient does not have: new sexual partner,1.0,0.40163194933836555,0.5983680506616345,0.655225788413306,2.0493616899554192,3.9141378185372893,4.926123840463422,1.5945524395494957
chest_pain_carter_18,gpt-4.1-nano,s01_r00_19cat,Patient does not have: hiatal hernia,1.0,0.4177593469590561,0.5822406530409439,0.41398438293245593,1.039750000497888,2.5377878908310914,4.850313915617191,1.5790434277243517
chest_pain_carter_8,gpt-4.1-nano,s01_r00_8cat,Patient does not have: pain that improves with rest,1.0,0.4469229320408244,0.5530770679591757,0.5394716525097407,1.469623926290059,3.304557447055552,4.792061236562276,1.5669606396468316
